host,url,status,size
155.157.87.82,/pub/winvn/readme.txt,404,0
155.157.87.82,/pub/winvn/release.txt,404,0
lightning1.llnl.gov,/shuttle/technology/sts-newsref/spacelab,404,0
alyssa.prodigy.com,/HISTORY/APOLLO,404,0
alyssa.prodigy.com,/HISTORY/APOLLO/APOLLO-13/APOLLO-13.HTML,404,0
157.235.1.84,/shuttle/resources/orbiters/atlantis.gif,404,0
derec,/missions/sts-70/liftoff.html,404,0
derec,/missions/sts-70/liftoff.html,404,0
204.62.245.32,/shuttle/countdown/aa.html,404,0
ip-pdx2-56.teleport.com,/pub/winvn,404,0
ip-pdx2-56.teleport.com,/pub/winvn/,404,0
ip-pdx2-56.teleport.com,/pub/,404,0
ip-pdx2-56.teleport.com,/pub,404,0
204.62.245.32,/shuttle/countdown/ab.html,404,0
204.62.245.32,/shuttle/countdown/ac.html,404,0
derec,/shuttle/missions/sts-69/video/livevideo2.gif,404,0
n1031657.ksc.nasa.gov,/history/apollo/sa-2/sa-2-patch-small.gif,404,0
n1031657.ksc.nasa.gov,/history/apollo/sa-2/sa-2-patch-small.gif,404,0
198.213.130.253,"""/shuttle/missions/sts-34/mission-sts-34.html""""><IMG images/ssbuv1.gif SRC=""""images/small34p.gif/""",404,0
155.31.129.55,/shuttle/tecnology/stsreftoc.html,404,0
hidaka.hudk.hokudai.ac.jp,/shuttle/mission,404,0
128.159.132.56,/images/crawlerway-logo.gif,404,0
hidaka.hudk.hokudai.ac.jp,/shuttle/missions/sts-71/video/landing.gif,404,0
hidaka.hudk.hokudai.ac.jp,/shuttle/missions/sts-71/video/landing.gif,404,0
relay.tis.com,/elv/DELTA/uncons.htm,404,0
204.134.97.29,/pub/winvn/readme.txt,404,0
204.134.97.29,/pub/winvn/release.txt,404,0
fkirchman.gsfc.nasa.gov,/elv/DELTA/uncons.htm,404,0
acca.nmsu.edu,/pub/winvn/release.txt,404,0
acca.nmsu.edu,/pub/winvn/readme.txt,404,0
n42_25.shsu.edu,/statistics/Mar.wwwstats.html,404,0
163.205.23.63,/HOME.AOL.COM/GLCF%20PAT,404,0
www-proxy.crl.research.digital.com,/facilities/tour.html-OLD,404,0
cossc.gsfc.nasa.gov,/shuttle/technology/images/sts-cron-72-small.gif,404,0
dialup96-113.swipnet.se,/elv/DELTA/uncons.htm,404,0
smanns.gsfc.nasa.gov,/pub/winvn/readme.txt,404,0
smanns.gsfc.nasa.gov,/pub/winvn/release.txt,404,0
155.78.20.20,/pub/winvn/readme.txt,404,0
155.78.20.20,/pub/winvn/readme.txt,404,0
155.78.20.20,/pub/winvn/release.txt,404,0
128.217.61.184,/PTS/thin_strip2.gif,404,0
gatekeeper0.wia.net,/pub/winvn/nt,404,0
gatekeeper0.wia.net,/pub/winvn/nt,404,0
128.217.61.184,/PTS/thin_strip2.gif,404,0
128.217.61.184,/warning.gif,404,0
163.205.16.75,/SDG/Experimental/demoweb/return.gif,404,0
zen.com,/shuttle/countdown/count69.gif,404,0
tweedie.navsses.navy.mil,/shuttle/countdown/count69.gif,404,0
sun1550.sph.umich.edu,/shuttle/countdown/count69.gif,404,0
zen.com,/shuttle/countdown/count69.gif,404,0
zen.com,/shuttle/countdown/count69.gif,404,0
gatekeeper.hcc.com,/shuttle/countdown/count69.gif,404,0
zen.com,/shuttle/countdown/count69.gif,404,0
a7157.dial.tip.net,/search-page.html,404,0
155.31.129.55,/shuttle/technology/stsnewsrof/stsref-toc.html,404,0
moomachine.harvard.edu,/www/,404,0
moomachine.harvard.edu,/www/ksc,404,0
sun1550.sph.umich.edu,/shuttle/countdown/count69.gif,404,0
kb056003.ksc.nasa.gov,/images/lf-logo.gif,404,0
wwwproxy.sanders.com,/shuttle/countdown/count69.gif,404,0
nd042234.global.medtronic.com,/shuttle/countdown/count69.gif,404,0
gw1.cat.com,/shuttle/countdown/count69.gif,404,0
slip4032.sirius.com,/shuttle/countdown/count69.gif,404,0
wwwproxy.sanders.com,/shuttle/countdown/count69.gif,404,0
199.73.152.95,/shuttle/countdown/count69.gif,404,0
usstyx.glaxo.com,/shuttle/countdown/count69.gif,404,0
stortek1.stortek.com,/shuttle/countdown/count69.gif,404,0
gw1.cat.com,/shuttle/countdown/count69.gif,404,0
wwwproxy.sanders.com,/shuttle/countdown/count69.gif,404,0
www-relay.pa-x.dec.com,/shuttle/countdown/count69.gif,404,0
192.80.10.214,/shuttle/countdown/count69.gif,404,0
192.80.10.214,/shuttle/countdown/count69.gif,404,0
dialup96-009.swipnet.se,/pub/winvn/release.txt,404,0
192.80.10.214,/shuttle/countdown/count69.gif,404,0
147.147.191.43,/shuttle/countdown/count69.gif,404,0
gw4.att.com,/shuttle/countdown/count69.gif,404,0
tweedie.navsses.navy.mil,/shuttle/countdown/count69.gif,404,0
pppa014.compuserve.com,/pub/win3/winvn.,404,0
199.73.152.95,/shuttle/countdown/count69.gif,404,0
www,/shuttle/countdown/count69.gif,404,0
www,/shuttle/countdown/count69.gif,404,0
dialup96-009.swipnet.se,/pub/winvn/release.txt,404,0
www-a1.proxy.aol.com,/shuttle/countdown/count69.gif,404,0
dialup96-009.swipnet.se,/pub/winvn/readme.txt,404,0
mpngate1.ny.us.ibm.net,/images/crawlerway-logo.gif,404,0
avery.dny.rockwell.com,/images/lf-logo.gif,404,0
avery.dny.rockwell.com,/images/lf-logo.gif,404,0
avery.dny.rockwell.com,/images/lf.gif,404,0
avery.dny.rockwell.com,/images/lf.gif,404,0
pppa014.compuserve.com,/pub/win3/winvn,404,0
pppa014.compuserve.com,/pub/win3,404,0
pppa014.compuserve.com,/pub/,404,0
pppa014.compuserve.com,/pub,404,0
www-b4.proxy.aol.com,/history/apollo/apollo-13/appollo-13.html,404,0
wwwproxy.sanders.com,/shuttle/missions/STS-69/mission-STS-69.html,404,0
www-a1.proxy.aol.com,/shuttle/countdown/count69.gif,404,0
formica.nist.gov,/pub/winvn/release.txt,404,0
formica.nist.gov,/pub/winvn/readme.txt,404,0
qmd.proc.ornl.gov,/elv/DELTA/uncons.htm,404,0
400gtw.nl,/software/winvn/winvn.html.,404,0
140.211.52.22,/://spacelink.msfc.nasa.gov,404,0
cerberus.ntex.nl,/shuttle/missions/sts-80/mission-sts-80.html,404,0
xxx206040.ors.sunysb.edu,/shuttle/missions/STS-69/mission-STS-69.html,404,0
cerberus.ntex.nl,/shuttle/missions/sts-80/mission-sts-80.html,404,0
cerberus.ntex.nl,/shuttle/missions/sts-79/mission-sts-79.html,404,0
cerberus.ntex.nl,/shuttle/missions/sts-80/mission-sts-80.html,404,0
ix-col1-25.ix.netcom.com,/pub/winvn/release.txt,404,0
199.183.200.57,/pub/winvn/readme.txt,404,0
198.186.50.133,/elv/DELTA/uncons.htm,404,0
198.186.50.133,/elv/DELTA/uncons.htm,404,0
199.183.200.57,/pub/winvn/readme.txt,404,0
192.215.71.55,/://spacelink.msfc.nasa.gov,404,0
167.76.159.11,/shuttle/technology/sts-newsref/stsref-toc%3Ahtml,404,0
131.53.33.17,/shuttle/mission/mission.html,404,0
163.205.16.75,/shuttle/missions/sts-68/ksc-upclose.gif,404,0
previa.vol.it,/news/sci.space.shuttle/archive/sci-space-shuttle-28-jul-1994-98.txt,404,0
163.205.16.75,/shuttle/missions/sts-68/ksc-upclose.gif,404,0
bstfirewall.bst.bls.com,/pub/winvn/readme.txt,404,0
163.205.156.16,/statistics/1995/Jul/Aug95.html,404,0
ppp15.cyberport.com,/shuttle/missions/STS-69/mission-STS-69.html,404,0
mpngate1.ny.us.ibm.net,/office/pao/newsroom/today.html,404,0
n1121796.ksc.nasa.gov,/theta.com/goodman/,404,0
134.68.223.10,/shuttle/resources/orbiters/challenger.gif,404,0
mac-2586.d-building.uh.edu,/shuttle/missions/STS-69/mission-STS-69.html,404,0
n1121796.ksc.nasa.gov,/yahoo.com/Society_and_Culture/,404,0
pournelle.rice.edu,/shuttle/missions/51-L/mission-51-1.html,404,0
ak055.du.pipex.com,/ksc.ttml,404,0
ak055.du.pipex.com,/ksc.ttml,404,0
hydra.ksc.nasa.gov,/penthousemag.com,404,0
tartarus.mpr.ca,/shuttle/missions/51-L/mission-51-1.html,404,0
saf50007.hq.af.mil,/elv/DELTA/uncons.htm,404,0
u139.n72.queensu.ca,/elv/SCOUT/elvhead2.gif,404,0
acquinas.netmind.com,/kcs.html,404,0
198.245.141.16,/shuttle/news/sci.space.news/50,404,0
netport-34.iu.net,/ksc.shtml,404,0
netport-34.iu.net,/ksc.shtml,404,0
pequod.sarnoff.com,/elv/DELTA/uncons.htm,404,0
pequod.sarnoff.com,/elv/DELTA/uncons.htm,404,0
piweba1y.prodigy.com,/pub/wiinvn/win3/ww16_99_.zip,404,0
shawp3.ppath.uiuc.edu,/pub/winvn/readme.txt,404,0
163.206.51.89,/shuttle/missions/technology/sts-newsref/stsref-toc.html,404,0
piweba1y.prodigy.com,/pub/wiinvn/win3/,404,0
lpm1-3.atlcom.net,/elv/DELTA/uncons.htm,404,0
w046045.vafb.af.mil,/shuttle/missions/sts-68/ksc-upclose.gif,404,0
shawp3.ppath.uiuc.edu,/pub/winvn/release.txt,404,0
shawp3.ppath.uiuc.edu,/pub/winvn/release.txt,404,0
shawp3.ppath.uiuc.edu,/pub/winvn/readme.txt,404,0
x129-10.fsci.umn.edu,/shuttle/missions/sts-68/ksc-upclose.gif,404,0
piweba1y.prodigy.com,/http:techweb.cmp/win/current,404,0
opsdoc-2.mil.nasa.gov,/facilities/mila.htm1,404,0
204.41.167.2,/://spacelink.msfc.nasa.gov,404,0
barb.wchat.on.ca,/://spacelink.msfc.nasa.gov,404,0
barb.wchat.on.ca,/://spacelink.msfc.nasa.gov,404,0
x129-10.fsci.umn.edu,/shuttle/resources/orbiters/challenger.gif,404,0
ucnuc01.mrp.uc.edu,/pub/winvn/readme.txt,404,0
ucnuc01.mrp.uc.edu,/pub/winvn/release.txt,404,0
peoples.north.net,/://spacelink.msfc.nasa.gov,404,0
167.208.242.105,/shuttle/missions/sts-68/ksc-upclose.gif,404,0
odin.uniandes.edu.co,/shuttle/missions/sts-79/mission-sts-79.html,404,0
odin.uniandes.edu.co,/shuttle/missions/sts-81/mission-sts-81.html,404,0
www-relay.pa-x.dec.com,/shuttle/countdown/count69.gif,404,0
u139.n72.queensu.ca,/elv/DELTA/uncons.htm,404,0
sys35166.ml.wpafb.af.mil,/shuttle/missions/html,404,0
134.57.50.202,/shuttle/missions/STS-69/mission-STS-69.html,404,0
corpgate.nt.com,/shuttle/resources/orbiters/atlantis.gif,404,0
199.93.170.211,/history/apollo/images/little-joe.jpg,404,0
199.93.170.211,/history/apollo/sa-1/sa-1-patch-small.gif,404,0
199.93.170.211,/history/apollo/sa-1/sa-1-patch-small.gif,404,0
199.93.170.211,/history/apollo/sa-1/sa-1-patch-small.gif,404,0
info3.rus.uni-stuttgart.de,/history/pg24.htm,404,0
199.93.170.211,/history/apollo/sa-1/sa-1-patch-small.gif,404,0
neworleans-1-5.i-link.net,/pub/winvn/readme.txt,404,0
neworleans-1-5.i-link.net,/pub/winvn/readme.txt,404,0
aero.zynet.co.uk,/images/crawlerway-logo.gif,404,0
aero.zynet.co.uk,/images/crawlerway-logo.gif,404,0
aero.zynet.co.uk,/images/crawlerway.gif,404,0
aero.zynet.co.uk,/images/crawlerway.gif,404,0
aero.zynet.co.uk,/images/crawlerway-logo.gif,404,0
drjo012a066.embratel.net.br,/elv/new01.gif> ,404,0
198.59.100.167,/msfc/astro_home.htmll,404,0
as18.net-connect.net,/pub/winvn/readme.txt,404,0
as18.net-connect.net,/pub/winvn/release.txt,404,0
20.11.2.100,/://spacelink.msfc.nasa.gov,404,0
philb.tiac.net,/history/apollo/sa-7/sa-7-patch-small.gif,404,0
philb.tiac.net,/history/apollo/sa-7/sa-7-patch-small.gif,404,0
philb.tiac.net,/history/apollo/sa-7/images/,404,0
philb.tiac.net,/history/apollo/sa-7/sa-7-patch-small.gif,404,0
philb.tiac.net,/history/apollo/sa-7/docs/,404,0
philb.tiac.net,/history/apollo/sa-7/sa-7-patch-small.gif,404,0
philb.tiac.net,/history/apollo/sa-7/news/,404,0
philb.tiac.net,/history/apollo/sa-7/sa-7-patch-small.gif,404,0
www-c4.proxy.aol.com,/shuttle/missions/sts73.html,404,0
cygnus.omsi.edu,/shuttle/missions/STS-69/mission-STS-69.html,404,0
139.169.85.72,/payloads/systems.html,404,0
swarren2.ess.harris.com,/htbin/,404,0
dial-21.win.net,/nasa/Cool.gif,404,0
h-tranverso.richmond.infi.net,/magazine/p08aug/08pet09.gif,404,0
h-tranverso.richmond.infi.net,/magazine/p08aug/08pet10.gif,404,0
